"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Biopterin metabolism","22","7","4","2.3087","0.0023077","0.01154",NA,"0","0","0.1684621","0.84242",NA,"P1","EC000117;EC000357;EC00059;EC00060;EC00063;EC00067;EC00068"
"Tyrosine metabolism","160","79","35","27.242","0.0084728","0.013659",NA,"10","0.1","0.6100416","0.983448",NA,"P2","EC00012;EC000555;EC000457;EC000459;EC00017;EC000410;EC000748;EC000749;EC000664;EC000666;EC000777;EC000778;EC000237;EC0001023;EC00059;EC00060;EC00063;EC00051;EC000753;EC00067;EC00068;EC000659;EC000336;EC00044;EC00045;EC000861;EC000889;EC0001025;EC000593;EC000594;EC000878;EC000879;EC000382;EC0001157;EC0001186;EC0001116"
"Urea cycle/amino group metabolism","85","36","17","15.545","0.034586","0.058339",NA,"4","0.04","1","1",NA,"P3","EC00017;EC000127;EC000593;EC000594;EC00012;EC000462;EC000463;EC000117;EC00042;EC000251;EC000789;EC000791;EC000336;EC000232;EC000659;EC000457;EC000459;EC000237;EC00056;EC000283;EC0001276"
"Prostaglandin formation from arachidonate","78","36","11","4.6174","0.11599","0.23346",NA,"7","0.07","1","1",NA,"P4","EC000297;EC0001055;EC0001214;EC000948;EC000945;EC000946;EC00051"
"Dynorphin metabolism","8","1","1","0.15391","0.14061","1",NA,"11","0.11","1","1",NA,"P5","EC0001210"
"Vitamin B12 (cyanocobalamin) metabolism","9","1","1","0.15391","0.14061","1",NA,"20","0.2","1","1",NA,"P6","EC00012"
"Bile acid biosynthesis","82","33","7","4.9252","0.15098","0.28381",NA,"9","0.09","1","1",NA,"P7","EC000841;EC000818;EC000633;EC000431;EC000432;EC000433;EC0001141"
"Fructose and mannose metabolism","33","22","7","3.3861","0.18635","0.37062",NA,"12","0.12","1","1",NA,"P8","EC000167;EC000530;EC000531;EC00023;EC000465"
"Carnitine shuttle","72","27","10","4.3095","0.18986","0.35239",NA,"23","0.23","1","1",NA,"P9","EC0001269;EC0001270;EC0001278;EC0001274;EC0001264;EC0001284"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","16","6","4.3095","0.18986","0.35239",NA,"12","0.12","1","1",NA,"P10","EC00017;EC00012;EC00042;EC00044;EC00045;EC000938"
"C5-Branched dibasic acid metabolism","10","3","2","0.92347","0.20141","0.59572",NA,"19","0.19","1","1",NA,"P11","EC000340;EC000343"
"Vitamin B1 (thiamin) metabolism","20","4","1","1.0774","0.25712","0.65252",NA,"6","0.06","1","1",NA,"P12","EC000248;EC000249"
"Pyrimidine metabolism","70","32","11","11.697","0.26135","0.37052",NA,"5","0.05","1","1",NA,"P13","EC000619;EC000117;EC00044;EC00045;EC00017;EC000489;EC000490;EC000156;EC000158;EC000227;EC000229;EC000300;EC000353"
"Keratan sulfate degradation","68","4","2","2.1548","0.31334","0.60368",NA,"37","0.37","1","1",NA,"P14","EC00023;EC000530;EC000531"
"Arginine and Proline Metabolism","45","24","11","10.158","0.31756","0.4451",NA,"27","0.27","1","1",NA,"P15","EC00017;EC000127;EC00042;EC000251;EC000123;EC000624;EC000629;EC000686;EC00044;EC00045;EC000283"
"Histidine metabolism","33","18","7","8.1574","0.32316","0.46764",NA,"20","0.2","1","1",NA,"P16","EC00017;EC00012;EC000743;EC000455;EC000107;EC000108;EC000156;EC000158;EC000824"
"Nitrogen metabolism","6","4","2","2.3087","0.35462","0.64253",NA,"13","0.13","1","1",NA,"P17","EC00017;EC00044;EC00045"
"Vitamin B9 (folate) metabolism","33","6","2","1.3852","0.36798","0.74339",NA,"17","0.17","1","1",NA,"P18","EC00017;EC000117"
"Vitamin B6 (pyridoxine) metabolism","11","6","4","3.3861","0.37483","0.61334",NA,"47","0.47","1","1",NA,"P19","EC000201;EC000416;EC000237;EC000398"
"Phosphatidylinositol phosphate metabolism","59","15","4","2.4626","0.39559","0.67833",NA,"19","0.19","1","1",NA,"P20","EC00023;EC000177;EC00072"
"N-Glycan Degradation","16","5","3","2.4626","0.39559","0.67833",NA,"36","0.36","1","1",NA,"P21","EC00023;EC000530;EC000531"
"Lysine metabolism","52","19","8","7.6956","0.40555","0.563",NA,"53","0.53","1","1",NA,"P22","EC00017;EC00012;EC000248;EC000249;EC000326;EC000508;EC000283;EC000195"
"Tryptophan metabolism","94","47","14","14.622","0.47013","0.58339",NA,"51","0.51","1","1",NA,"P23","EC00017;EC00012;EC000252;EC00058;EC000521;EC000777;EC000778;EC00080;EC0001185;EC0001251;EC000402;EC000248;EC000249;EC00023"
"Pentose and Glucuronate Interconversions","15","12","4","1.693","0.47194","0.8106",NA,"30","0.3","1","1",NA,"P24","EC000273;EC000177"
"Valine, leucine and isoleucine degradation","65","23","8","7.08","0.47501","0.64084",NA,"29","0.29","1","1",NA,"P25","EC00017;EC000100;EC000103;EC000186;EC0001219;EC0001220;EC000195"
"Pentose phosphate pathway","37","29","5","5.0791","0.50466","0.69971",NA,"18","0.18","1","1",NA,"P26","EC000619;EC000640;EC000221;EC000325;EC00023"
"Beta-Alanine metabolism","20","12","3","4.0017","0.50829","0.72768",NA,"25","0.25","1","1",NA,"P27","EC00017;EC000107;EC000108;EC000167"
"Glycine, serine, alanine and threonine metabolism","88","38","10","10.62","0.51334","0.64673",NA,"27","0.27","1","1",NA,"P28","EC00017;EC00012;EC000117;EC000715;EC00042;EC000167;EC000232;EC00056;EC000195;EC000650"
"TCA cycle","31","9","2","1.8469","0.51997","0.83732",NA,"18","0.18","1","1",NA,"P29","EC000829;EC000195"
"Ubiquinone Biosynthesis","10","5","2","1.8469","0.51997","0.83732",NA,"57","0.57","1","1",NA,"P30","EC00012;EC000555"
"Alanine and Aspartate Metabolism","30","17","4","5.233","0.53281","0.72267",NA,"12","0.12","1","1",NA,"P31","EC00017;EC00042;EC00044;EC00045;EC000251"
"Hexose phosphorylation","20","15","7","3.0782","0.54951","0.79328",NA,"56","0.56","1","1",NA,"P32","EC00023;EC00072;EC000465"
"Chondroitin sulfate degradation","37","6","3","2.0009","0.56502","0.86028",NA,"46","0.46","1","1",NA,"P33","EC00023;EC000177"
"Glycosphingolipid biosynthesis - ganglioseries","62","4","2","0.92347","0.59794","1",NA,"48","0.48","1","1",NA,"P34","EC00023"
"Vitamin H (biotin) metabolism","5","3","1","0.92347","0.59794","1",NA,"53","0.53","1","1",NA,"P35","EC00095"
"D4&E4-neuroprostanes formation","37","25","1","0.92347","0.59794","1",NA,"28","0.28","1","1",NA,"P36","EC00051"
"Galactose metabolism","41","28","15","4.4635","0.59955","0.79481",NA,"36","0.36","1","1",NA,"P37","EC00023;EC00072;EC000167;EC000465"
"Sialic acid metabolism","107","16","7","2.1548","0.60696","0.88002",NA,"49","0.49","1","1",NA,"P38","EC00023;EC00072"
"Heparan sulfate degradation","34","6","3","2.1548","0.60696","0.88002",NA,"53","0.53","1","1",NA,"P39","EC00023;EC000177"
"Aspartate and asparagine metabolism","114","57","19","18.162","0.60964","0.70462",NA,"39","0.39","1","1",NA,"P40","EC00017;EC000127;EC0001156;EC000629;EC0001164;EC00056;EC000283;EC00042;EC00044;EC00045;EC000710;EC000624;EC000732;EC000251;EC0001230;EC000686"
"Glutathione Metabolism","19","8","2","3.3861","0.61741","0.83594",NA,"43","0.43","1","1",NA,"P41","EC000624;EC000629;EC00017"
"Androgen and estrogen biosynthesis and metabolism","95","13","2","2.3087","0.64579","0.89698",NA,"58","0.58","1","1",NA,"P42","EC00012;EC000845"
"Starch and Sucrose Metabolism","33","14","7","2.3087","0.64579","0.89698",NA,"30","0.3","1","1",NA,"P43","EC00072;EC00023"
"Methionine and cysteine metabolism","94","26","5","7.08","0.64659","0.79444",NA,"40","0.4","1","1",NA,"P44","EC00017;EC00012;EC0003;EC0004;EC000620;EC0001090"
"Hyaluronan Metabolism","8","3","1","1.0774","0.65474","1",NA,"62","0.62","1","1",NA,"P45","EC000177"
"N-Glycan biosynthesis","48","6","2","1.0774","0.65474","1",NA,"29","0.29","1","1",NA,"P46","EC00023"
"Vitamin B2 (riboflavin) metabolism","8","3","1","1.0774","0.65474","1",NA,"37","0.37","1","1",NA,"P47","EC000210"
"Glycosphingolipid biosynthesis - globoseries","16","3","1","1.0774","0.65474","1",NA,"49","0.49","1","1",NA,"P48","EC00023"
"Vitamin D3 (cholecalciferol) metabolism","16","9","2","1.2313","0.70356","1",NA,"46","0.46","1","1",NA,"P49","EC0001141"
"Putative anti-Inflammatory metabolites formation from EPA","27","10","1","1.2313","0.70356","1",NA,"48","0.48","1","1",NA,"P50","EC00017"
"Glycolysis and Gluconeogenesis","49","24","5","3.8478","0.70568","0.88518",NA,"29","0.29","1","1",NA,"P51","EC00023;EC000195;EC000167"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","17","6","5.233","0.72701","0.87595",NA,"50","0.5","1","1",NA,"P52","EC000382;EC000177;EC000835;EC00051"
"Leukotriene metabolism","92","16","2","2.7704","0.74418","0.93484",NA,"64","0.64","1","1",NA,"P53","EC000297;EC0001246"
"Linoleate metabolism","46","28","9","9.0808","0.74719","0.85664",NA,"86","0.86","1","1",NA,"P54","EC0001178;EC000799;EC0001196;EC00051;EC0001060;EC0001063;EC000601"
"Aminosugars metabolism","69","13","2","4.1556","0.75538","0.91003",NA,"76","0.76","1","1",NA,"P55","EC00017;EC00044;EC00045"
"Purine metabolism","80","33","6","9.3887","0.77872","0.87788",NA,"53","0.53","1","1",NA,"P56","EC00017;EC000123;EC000591;EC000217;EC00044;EC00045;EC00051"
"Drug metabolism - cytochrome P450","53","24","5","5.6948","0.78766","0.90975",NA,"68","0.68","1","1",NA,"P57","EC0001131;EC0001125;EC0001122;EC0001116"
"Glycosphingolipid metabolism","67","16","7","4.4635","0.79814","0.9298",NA,"77","0.77","1","1",NA,"P58","EC00023;EC000246;EC0001041"
"Glutamate metabolism","15","11","2","4.6174","0.81709","0.93807",NA,"58","0.58","1","1",NA,"P59","EC00017;EC00044;EC00045"
"Pyruvate Metabolism","20","7","2","1.8469","0.8391","1",NA,"55","0.55","1","1",NA,"P60","EC000167"
"Omega-3 fatty acid metabolism","39","7","1","2.0009","0.86194","1",NA,"76","0.76","1","1",NA,"P61","EC0001211"
"Drug metabolism - other enzymes","31","7","1","2.0009","0.86194","1",NA,"59","0.59","1","1",NA,"P62","EC0001001"
"Butanoate metabolism","34","19","4","8.0034","0.87812","0.94817",NA,"83","0.83","1","1",NA,"P63","EC00017;EC000854;EC000952;EC000955;EC000690"
"Vitamin E metabolism","54","12","1","2.1548","0.88155","1",NA,"69","0.69","1","1",NA,"P64","EC000382"
"C21-steroid hormone biosynthesis and metabolism","112","33","2","3.8478","0.88721","0.97773",NA,"81","0.81","1","1",NA,"P65","EC000843;EC000845"
"Propanoate metabolism","31","8","1","2.3087","0.89839","1",NA,"69","0.69","1","1",NA,"P66","EC000167"
"Arachidonic acid metabolism","95","42","9","4.0017","0.9002","0.9809",NA,"65","0.65","1","1",NA,"P67","EC00017;EC000297"
"Porphyrin metabolism","43","11","2","4.0017","0.9002","0.9809",NA,"76","0.76","1","1",NA,"P68","EC000177;EC00051"
"Carbon fixation","10","9","1","2.6165","0.92526","1",NA,"74","0.74","1","1",NA,"P69","EC000221"
"Selenoamino acid metabolism","35","10","1","2.9243","0.94505","1",NA,"72","0.72","1","1",NA,"P70","EC000398"
"Glycerophospholipid metabolism","156","35","7","10.774","0.97866","0.99301",NA,"94","0.94","1","1",NA,"P71","EC00012;EC000619;EC000246;EC00023;EC000167"
"Xenobiotics metabolism","110","28","1","6.4643","0.98749","0.9984",NA,"99","0.99","1","1",NA,"P72","EC0001031;EC0001032"
"Fatty acid activation","74","15","1","5.3869","0.9954","1",NA,"100","1","1","1",NA,"P73","EC0001211"
